CBO Ocupação 2002;CNAE 2.0 Classe;CNAE 95 Classe;Escolaridade após 2005;Qtd Hora Contr;Idade;Raça Cor;Vl Remun Dezembro Nom;Vl Remun Média Nom;CNAE 2.0 Subclasse;Sexo Trabalhador;Tamanho Estabelecimento;Tempo Emprego;Tipo Vínculo;Estado;Ano
715615;41204;45217;07;44;37;09; 2390,86; 2101,45;4120400;01;06;  2,2;10;SP;2017
239405;85121;80144;09;44;26;01; 1385,00; 1416,00;8512100;02;04; 21,7;10;SP;2017
521120;46460;51462;07;44;40;08;    0,00; 1495,25;4646001;02;09;  5,9;10;SP;2017
142505;29492;34495;09;40;39;02;17567,01;17566,93;2949201;01;09; 88,7;10;SP;2017
841484;47229;52299;07;44;24;08; 2207,82; 2207,82;4722902;01;04;  2,8;10;SP;2017
784205;22196;25194;07;40;38;02; 1878,31; 1931,72;2219600;01;06;  5,6;10;SP;2017
142320;62091;72907;09;40;32;02;21546,11;22144,61;6209100;01;10; 43,8;10;SP;2017
992115;49302;60267;07;44;25;09; 1400,00; 1423,99;4930202;01;08;  2,4;10;SP;2017
782510;47890;52493;07;44;40;02; 1846,33; 1784,36;4789099;01;02;  7,9;10;SP;2017
716515;23915;26913;07;44;37;02; 1300,20; 1333,97;2391503;01;04; 41,9;10;SP;2017
717020;42138;45225;05;44;62;08; 1301,92; 1328,40;4213800;01;10; 36,4;10;SP;2017
333115;85996;80993;07;26;25;02;  750,34;  743,21;8599699;02;02;  5,5;10;SP;2017
782125;41204;45217;07;44;36;02; 2291,24; 2091,75;4120400;01;04; 35,8;10;SP;2017
351605;10139;15113;07;44;48;08;    0,00; 3622,60;1013901;01;10; 84,9;10;SP;2017
810205;20622;24724;07;44;34;02; 4229,21; 4760,91;2062200;01;05; 91,9;10;SP;2017
715210;43991;45292;05;44;52;02; 1706,43; 1629,20;4399199;01;03; 25,9;10;SP;2017
517315;84116;75116;07;40;57;99; 4240,92; 4636,85;8411600;01;10;206,7;30;SP;2017
411010;71120;74209;08;40;27;02; 3708,11; 3450,17;7112000;01;04; 27,5;10;SP;2017
411005;82997;74993;08;44;39;02; 4000,00; 4000,00;8299799;01;02; 29,9;10;SP;2017
784205;22293;25291;07;44;25;08; 1602,80; 1567,76;2229399;02;07; 52,2;10;SP;2017
514310;43215;45411;02;44;31;08; 1118,98; 1167,05;4321500;01;10;  3,8;10;SP;2017
731175;27511;29815;07;36;41;02; 2331,19; 1946,47;2751100;02;10;116,4;10;SP;2017
123105;84116;75116;07;40;50;99; 4813,52; 5019,79;8411600;02;10;302,2;30;SP;2017
411005;13511;17418;05;44;44;02; 1400,81; 1384,87;1351100;02;05; 37,8;10;SP;2017
513435;56112;55212;07;44;25;02; 1635,22; 1737,64;5611201;01;05;107,3;10;SP;2017
811770;22293;25291;05;44;59;02; 1844,63; 1853,88;2229399;01;05;122,9;10;SP;2017
514225;81214;74705;07;44;42;08; 1121,48; 1121,48;8121400;02;09;  0,8;10;SP;2017
391115;77110;71102;07;44;27;02; 1309,71; 1299,71;7711000;02;10;  9,8;10;SP;2017
782510;49302;60267;07;44;32;02; 3464,61; 3003,30;4930202;01;05; 64,9;10;SP;2017
784205;10201;15148;06;44;22;09; 1355,60; 1294,31;1020101;02;03; 32,9;10;SP;2017
231210;85996;80993;09;40;46;02; 7376,54; 7538,14;8599699;02;07;298,9;10;SP;2017
411005;82997;74993;07;44;29;02; 1876,20; 1873,70;8299799;01;07;  2,9;10;SP;2017
513435;56112;55220;06;36;17;08;  801,17;  801,17;5611203;01;05;  0,9;10;SP;2017
724315;47440;52442;05;44;61;02; 2686,17; 2718,35;4744005;01;03; 21,9;10;SP;2017
414105;10414;15318;04;44;30;02; 3046,80; 2252,02;1041400;01;07;148,2;10;SP;2017
411005;94308;91995;07;44;17;02;  660,30;  648,73;9430800;02;07; 11,2;10;SP;2017
411010;28291;29297;09;44;43;02; 1400,00; 1256,27;2829199;02;04; 17,9;10;SP;2017
517330;80111;74608;07;44;34;08; 2308,25; 2486,28;8011101;01;09; 14,1;10;SP;2017
524215;62040;72109;07;40;22;02; 2500,00; 2499,99;6204000;01;04;  4,5;10;SP;2017
325205;46656;51640;07;44;35;02; 3090,00; 3136,81;4665600;01;05;  2,7;10;SP;2017
123605;62040;72109;07;40;31;02; 7657,24; 7865,35;6204000;01;05;117,9;10;SP;2017
514320;81117;70327;07;44;56;02; 1065,19; 1065,18;8111700;02;10;  4,7;10;SP;2017
517410;81214;74705;07;44;20;04; 1380,39; 1402,10;8121400;01;09; 28,5;10;SP;2017
517330;80111;74608;05;44;36;02; 4093,85; 2521,35;8011101;01;10; 34,2;10;SP;2017
322205;65502;66303;07;44;23;02; 1820,90; 2000,62;6550200;01;06; 67,4;10;SP;2017
521140;47733;52418;05;44;23;02; 1080,00; 1080,00;4773300;01;02; 10,9;10;SP;2017
711110;43134;45136;05;44;29;02;  799,20;  976,21;4313400;01;02; 61,9;10;SP;2017
623110;01199;01198;05;44;23;09; 2185,70; 2374,69;0119906;01;07; 24,7;20;SP;2017
234510;85317;80314;09;44;30;02; 3118,50; 3189,84;8531700;02;08; 10,9;10;SP;2017
782220;52311;63223;07;44;41;08; 5053,05; 5728,29;5231102;01;08;137,9;10;SP;2017
334115;49230;60259;07;44;21;02; 1076,20; 1049,49;4923002;02;03; 31,3;10;SP;2017
848325;10538;15431;07;44;25;08; 1801,91; 1836,84;1053800;01;04; 45,9;10;SP;2017
763215;14126;18120;07;44;19;02; 1124,00; 1090,04;1412603;02;07; 20,6;10;SP;2017
811760;47440;52442;07;44;41;02; 1511,02; 1368,70;4744099;01;03;  9,9;10;SP;2017
422320;82202;74993;07;36;25;08;  935,02; 1163,83;8220200;02;10; 45,9;10;SP;2017
521140;47113;52124;07;44;19;08; 1611,95; 1552,83;4711302;01;05;  3,9;10;SP;2017
212405;62091;72907;09;40;31;02; 8815,25; 9466,39;6209100;01;08; 31,6;10;SP;2017
517410;78205;74500;07;44;43;02;  724,47; 1372,19;7820500;01;09;  7,0;10;SP;2017
911205;45111;50105;07;44;24;02; 1807,18; 1903,17;4511101;01;06; 41,2;10;SP;2017
514225;94120;91120;06;44;49;08; 2370,19; 1923,62;9412099;02;04; 58,9;10;SP;2017
021210;84248;75248;07;40;32;99; 3621,43; 3614,51;8424800;01;10;108,7;30;SP;2017
411005;47636;52493;07;44;26;02; 1294,49; 1397,45;4763605;02;03;  1,9;10;SP;2017
314110;45111;50105;05;44;32;08; 2638,31; 2261,89;4511101;01;05; 21,9;10;SP;2017
413225;64221;65226;07;30;48;06; 5853,65; 4555,99;6422100;02;07; 29,1;10;SP;2017
410105;68218;70327;09;44;35;02; 5071,78; 4002,29;6821802;02;07;100,9;10;SP;2017
763010;14126;18120;07;44;39;02; 1317,83; 1334,43;1412601;02;04; 31,8;10;SP;2017
911305;46699;51691;07;44;35;02; 2728,02; 3043,27;4669901;01;05; 57,5;10;SP;2017
203215;74901;74993;09;40;29;02; 5496,10; 5332,69;7490199;01;07; 11,7;10;SP;2017
422120;55108;55131;06;44;53;02;  598,40;  834,85;5510801;02;02;  3,9;10;SP;2017
422310;82113;74993;08;36;57;08; 4828,59; 3489,52;8211300;02;08; 65,2;10;SP;2017
782310;81214;74705;07;44;48;02; 1392,51; 1392,51;8121400;01;10;  0,9;10;SP;2017
142320;20134;24139;09;44;32;02;13283,21;19633,23;2013402;02;08; 32,9;10;SP;2017
516210;87115;85316;07;42;26;09; 1168,00; 1146,60;8711502;02;03; 13,9;10;SP;2017
621005;01512;01414;05;44;36;02; 1685,72; 1710,02;0151201;01;02; 47,9;25;SP;2017
521135;47318;50504;07;44;55;08; 1538,47; 1571,16;4731800;01;05; 75,9;10;SP;2017
413110;68102;70106;07;44;26;02; 1953,86; 1741,17;6810201;02;04; 57,6;10;SP;2017
322205;84116;75116;07;30;50;99;  623,00;  623,00;8411600;02;10; 43,6;30;SP;2017
513405;56112;55212;07;44;28;09; 2943,94; 2673,89;5611201;01;07;  3,8;10;SP;2017
521110;47814;52329;07;44;21;08; 1288,00; 1239,06;4781400;02;02; 41,9;10;SP;2017
411005;47831;52493;07;44;33;02; 2848,48; 2885,12;4783101;01;03; 24,9;10;SP;2017
813125;20932;24945;07;44;35;02; 1333,72; 2002,60;2093200;01;06;  7,9;10;SP;2017
521110;47440;52442;07;44;29;02; 3049,21; 3802,51;4744005;01;04; 21,9;10;SP;2017
715615;84116;75116;03;40;51;99; 1856,83; 2297,12;8411600;02;10;193,1;30;SP;2017
225125;86500;85154;09;10;59;02; 2531,33; 2805,16;8650099;01;10;315,9;10;SP;2017
251505;84116;75116;09;20;58;99; 2534,68; 2605,08;8411600;02;09;293,9;30;SP;2017
142115;10333;15237;09;44;48;02;21562,67;18755,22;1033301;02;05;141,8;10;SP;2017
621005;01393;01392;07;44;49;02; 1288,04; 1261,36;0139399;01;03; 10,9;25;SP;2017
641015;19314;24295;05;44;43;02; 2546,04; 2579,94;1931400;01;10;128,4;10;SP;2017
517410;81303;01619;05;38;38;02; 1972,19; 2005,46;8130300;01;06;  7,3;10;SP;2017
422310;47113;52116;07;36;18;02; 1127,98; 1127,98;4711301;02;08;  0,6;10;SP;2017
521110;13511;17418;07;44;57;02; 1184,39; 1237,29;1351100;02;07; 32,4;10;SP;2017
821435;29492;34495;07;44;32;08; 1980,65; 1939,91;2949299;01;10; 38,4;10;SP;2017
411010;84116;75116;08;40;25;99; 1911,20; 1496,05;8411600;02;10; 36,3;30;SP;2017
813130;33112;28819;07;44;42;02; 8109,13; 6721,23;3311200;01;04; 88,7;10;SP;2017
725505;29107;34100;07;40;50;02; 6570,55; 5556,33;2910701;01;10;248,4;10;SP;2017
410105;81214;74705;09;44;33;02; 4414,99; 4688,38;8121400;01;10; 75,8;10;SP;2017
391115;47890;52493;04;44;50;09; 2278,99; 2199,09;4789005;01;08; 13,7;10;SP;2017
716610;43304;45500;07;44;24;02; 1724,00; 1706,78;4330404;01;06; 16,9;10;SP;2017
514320;52231;63215;07;44;50;08; 1531,92; 1416,91;5223100;02;08; 34,7;10;SP;2017
410105;64221;65226;09;40;35;02;12289,84;11853,92;6422100;01;10;123,6;10;SP;2017
